seriesId,date,screen,views
Program 2,20180912,desktop,281
Program 2,20180913,desktop,324
Program 2,20180913,mobile,124
Program 2,20180913,tablet,60
Program 2,20180914,tablet,42
Program 2,20180914,desktop,312
Program 2,20180914,mobile,103
Program 2,20180915,tablet,65
Program 2,20180915,mobile,115
Program 2,20180915,desktop,313
Program 2,20180916,tablet,89
Program 2,20180916,desktop,479
Program 2,20180916,mobile,132
Program 2,20180917,desktop,584
Program 2,20180917,tablet,153
Program 2,20180917,mobile,128
Program 2,20180918,tablet,154
Program 2,20180918,mobile,236
Program 2,20180918,desktop,798
Program 2,20180919,mobile,204
Program 2,20180919,desktop,765
Program 2,20180919,tablet,172
Program 2,20180920,tablet,188
Program 2,20180920,desktop,798
Program 2,20180920,mobile,225
Program 2,20180921,mobile,241
Program 2,20180921,desktop,886
Program 2,20180921,tablet,140
Program 2,20180922,desktop,870
Program 2,20180922,tablet,127
Program 2,20180922,mobile,286
Program 2,20180923,desktop,1091
Program 2,20180923,tablet,233
Program 2,20180923,mobile,404
Program 2,20180924,tablet,176
Program 2,20180924,mobile,322
Program 2,20180924,desktop,851
Program 2,20180925,mobile,386
Program 2,20180925,tablet,101
Program 2,20180925,desktop,970
Program 2,20180926,mobile,251
Program 2,20180926,desktop,689
Program 2,20180926,tablet,124
Program 2,20180927,mobile,208
Program 2,20180927,desktop,634
Program 2,20180927,tablet,124
Program 2,20180928,mobile,155
Program 2,20180928,tablet,96
Program 2,20180928,desktop,472
Program 2,20180929,mobile,188
Program 2,20180929,tablet,133
Program 2,20180929,desktop,587
Program 2,20180930,mobile,225
Program 2,20180930,tablet,127
Program 2,20180930,desktop,787
Program 2,20181001,desktop,628
Program 2,20181001,tablet,83
Program 2,20181001,mobile,225
Program 2,20181002,desktop,593
Program 2,20181002,tablet,130
Program 2,20181002,mobile,216
Program 2,20181003,tablet,82
Program 2,20181003,mobile,189
Program 2,20181003,desktop,426
Program 2,20181004,tablet,76
Program 2,20181004,desktop,468
Program 2,20181004,mobile,192
Program 2,20181005,tablet,72
Program 2,20181005,mobile,193
Program 2,20181005,desktop,418
Program 2,20181006,tablet,74
Program 2,20181006,desktop,443
Program 2,20181006,mobile,154
Program 2,20181007,tablet,91
Program 2,20181007,mobile,218
Program 2,20181007,desktop,505
Program 2,20181008,tablet,101
Program 2,20181008,desktop,475
Program 2,20181008,mobile,164
Program 2,20181009,mobile,146
Program 2,20181009,tablet,63
Program 2,20181009,desktop,431
Program 2,20181010,mobile,143
Program 2,20181010,desktop,312
Program 2,20181010,tablet,80
Program 2,20181011,desktop,297
Program 2,20181011,mobile,142
Program 2,20181011,tablet,125
Program 2,20181012,mobile,119
Program 2,20181012,tablet,91
Program 2,20181012,desktop,346
Program 2,20181013,tablet,86
Program 2,20181013,mobile,137
Program 2,20181013,desktop,403
Program 2,20181014,desktop,607
Program 2,20181014,mobile,228
Program 2,20181014,tablet,131
Program 2,20181015,mobile,189
Program 2,20181015,desktop,596
Program 2,20181015,tablet,84
Program 2,20181016,desktop,440
Program 2,20181016,mobile,179
Program 2,20181016,tablet,82
Program 2,20181017,mobile,170
Program 2,20181017,tablet,83
Program 2,20181017,desktop,416
Program 3,20180101,tablet,14
Program 3,20180101,mobile,20
Program 3,20180101,desktop,62
Program 3,20180102,desktop,105
Program 3,20180102,tablet,16
Program 3,20180102,mobile,19
Program 3,20180103,desktop,111
Program 3,20180103,mobile,28
Program 3,20180103,tablet,27
Program 3,20180104,desktop,106
Program 3,20180104,mobile,17
Program 3,20180104,tablet,17
Program 3,20180105,mobile,14
Program 3,20180105,desktop,87
Program 3,20180105,tablet,28
Program 3,20180106,mobile,20
Program 3,20180106,tablet,20
Program 3,20180106,desktop,61
Program 3,20180107,desktop,94
Program 3,20180107,tablet,18
Program 3,20180107,mobile,14
Program 3,20180108,mobile,20
Program 3,20180108,desktop,245
Program 3,20180108,tablet,32
Program 3,20180109,mobile,26
Program 3,20180109,tablet,59
Program 3,20180109,desktop,305
Program 3,20180110,mobile,21
Program 3,20180110,desktop,151
Program 3,20180110,tablet,39
Program 3,20180111,tablet,14
Program 3,20180111,desktop,124
Program 3,20180111,mobile,15
Program 3,20180112,mobile,9
Program 3,20180112,tablet,9
Program 3,20180112,desktop,94
Program 3,20180113,mobile,8
Program 3,20180113,tablet,23
Program 3,20180113,desktop,97
Program 3,20180114,mobile,30
Program 3,20180114,desktop,103
Program 3,20180114,tablet,39
Program 3,20180115,mobile,33
Program 3,20180115,tablet,51
Program 3,20180115,desktop,272
